State,StateCode,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,Income,MalePop,FemalePop
Alabama,1,4830620,3.75,61.88,31.25,0.45,1.05,0.03,43296.36,2341093,2489527.0
Alaska,2,733375,5.91,60.91,2.85,16.39,5.45,1.06,70354.74,384160,349215.0
Arizona,3,6641928,29.57,57.12,3.85,4.36,2.88,0.17,54207.82,3299088,3342840.0
Arkansas,4,2958208,6.22,71.14,18.97,0.52,1.14,0.15,41935.63,1451913,1506295.0
California,5,38421464,37.29,40.22,5.68,0.41,13.05,0.35,67264.78,19087135,19334329.0
Colorado,6,5278906,20.78,69.9,3.55,0.57,2.66,2.54,64657.8,2648667,2630239.0
Connecticut,7,3593222,15.6,67.68,10.35,0.13,4.02,0.02,76146.56,1751607,1841615.0
Delaware,8,926454,8.82,64.63,20.74,0.26,3.27,2.28,61827.98,448413,478041.0
District of Columbia,9,647484,9.17,33.1,51.78,0.2,3.38,0.03,75466.36,306674,340810.0
Florida,10,19645772,21.34,59.08,15.17,0.21,2.28,0.05,50690.19,9600009,10045763.0
Georgia,11,10006693,8.42,54.29,32.09,0.19,3.1,0.05,50811.08,4883331,5123362.0
Hawaii,12,1406299,9.19,25.03,2.05,0.14,36.59,8.76,73264.43,709871,696428.0
Idaho,13,1616547,11.51,83.14,0.57,1.47,1.14,0.13,48017.32,810464,806083.0
Illinois,14,12873761,15.6,60.86,17.11,0.12,4.48,0.02,59587.05,6316899,6556862.0
Indiana,15,6568645,6.54,78.43,11.19,0.19,1.58,0.03,48616.23,3235263,3333382.0
Iowa,16,3093526,5.3,87.72,3.26,0.29,1.7,0.06,53017.75,1534595,1558931.0
Kansas,17,2892987,11.64,75.96,6.57,0.73,2.33,2.77,53885.61,1439862,1453125.0
Kentucky,18,4397353,3.22,85.23,8.27,0.17,1.13,0.05,45285.8,2164208,2233145.0
Louisiana,19,4625253,4.87,54.98,36.33,0.48,1.67,0.04,44957.99,2261156,2364097.0
Maine,20,1329100,1.43,93.71,1.13,0.79,0.97,0.02,49181.97,650081,679019.0
Maryland,21,5930538,8.47,52.68,30.68,0.2,5.33,0.04,78765.4,2872643,3057895.0
Massachusetts,22,6705586,11.46,73.04,6.83,0.13,5.84,0.02,72838.94,3249650,3455936.0
Michigan,23,9900571,4.63,72.38,17.63,0.48,2.42,0.02,51201.83,4861973,5038598.0
Minnesota,24,5419171,5.15,81.43,5.66,1.07,4.16,0.03,62820.83,2692166,2727005.0
Mississippi,25,2988081,2.84,53.29,41.49,0.39,0.88,0.02,38909.92,1451723,1536358.0
Missouri,26,6045448,4.04,77.51,14.12,0.36,1.62,0.1,49763.99,2964003,3081445.0
Montana,27,1014699,3.27,86.42,0.43,7.06,0.57,0.07,47645.68,510163,504536.0
Nebraska,28,1869365,9.2,81.14,4.96,0.86,1.86,0.06,55916.47,929606,939759.0
Nevada,29,2798636,27.1,53.24,7.74,1.09,7.1,0.57,55526.53,1407735,1390901.0
New Hampshire,30,1324201,3.32,91.32,1.23,0.14,2.19,0.02,68728.86,653484,670717.0
New Jersey,31,8904413,18.75,56.49,14.39,0.12,8.16,0.03,76581.08,4343027,4561386.0
New Mexico,32,2084117,45.28,40.7,1.76,9.25,1.23,0.04,47329.97,1032414,1051703.0
New York,33,19673174,17.24,56.47,15.67,0.32,7.9,0.02,64290.75,9541801,10131373.0
North Carolina,34,9845333,8.46,64.6,21.4,1.09,2.32,0.05,49937.46,4795408,5049925.0
North Dakota,35,721640,2.83,87.45,1.28,5.65,0.96,1.83,58188.11,367963,353677.0
Ohio,36,11575977,3.67,75.9,16.21,0.17,1.62,0.02,49655.25,5662893,5913084.0
Oklahoma,37,3849733,10.08,66.06,8.31,6.72,1.8,0.11,48100.85,1906944,1942789.0
Oregon,38,3939233,11.44,78.4,1.73,1.0,3.59,0.35,54271.9,1948453,1990780.0
Pennsylvania,39,12779559,6.13,77.38,11.63,0.12,2.8,0.02,56170.46,6245344,6534215.0
Puerto Rico,40,3583073,98.89,0.77,0.09,0.0,0.08,0.0,20720.54,1713860,1869213.0
Rhode Island,41,1053661,13.36,74.33,5.68,0.35,3.25,0.04,59125.27,510388,543273.0
South Carolina,42,4777576,5.06,62.89,28.75,0.29,1.25,0.05,46296.81,2322409,2455167.0
South Dakota,43,843190,3.24,82.5,1.42,9.42,1.02,0.04,51805.41,423477,419713.0
Tennessee,44,6499615,4.72,73.49,18.28,0.23,1.41,0.04,47328.08,3167756,3331859.0
Texas,45,26538614,38.05,44.69,11.65,0.26,3.67,0.07,55874.52,13171316,13367298.0
Utah,46,2903379,13.47,79.41,1.02,1.08,2.2,0.83,63488.92,1459229,1444150.0
Vermont,47,626604,1.61,93.98,0.98,0.3,1.24,0.03,55602.97,308573,318031.0
Virginia,48,8256630,8.01,63.27,20.18,0.21,5.46,0.06,72866.01,4060948,4195682.0
Washington,49,6985464,11.14,72.04,3.38,1.41,7.02,0.61,64493.77,3487725,3497739.0
West Virginia,50,1851420,1.29,92.18,3.66,0.15,0.68,0.03,41437.11,913631,937789.0
Wisconsin,51,5742117,6.68,79.86,8.2,0.95,2.4,0.02,53898.89,2851385,2890732.0
.68,79.86,8.2,0.95,2.4,0.02,53898.89,2851385,2890732.0
851385,2890732.0
